timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655059006043,382,GetMainPage,200,OK,AddToCartThreadGroup 3-1,text,true,,26300,122,2,4,https://demo.opencart.com/,379,0,125
1655059006042,387,GetMainPage,200,OK,LoginThreadGroup 2-1,text,true,,26300,122,1,4,https://demo.opencart.com/,385,0,101
1655059006044,412,GetMainPage,200,OK,RegisterThreadGroup 1-1,text,true,,26300,122,1,4,https://demo.opencart.com/,408,0,131
1655059006430,183,GetLoginPage,200,OK,LoginThreadGroup 2-1,text,true,,18423,166,1,4,https://demo.opencart.com/index.php?route=account/login&language=en-gb,180,0,0
1655059006426,197,GetProduct,200,OK,AddToCartThreadGroup 3-1,text,true,,28385,182,2,4,https://demo.opencart.com/index.php?language=en-gb&product_id=40&route=product/product,194,0,0
1655059006458,198,GetRegisterPage,200,OK,RegisterThreadGroup 1-1,text,true,,22405,169,1,4,https://demo.opencart.com/index.php?route=account/register&language=en-gb,196,0,0
1655059006371,306,GetMainPage,200,OK,AddToCartThreadGroup 3-2,text,true,,26308,122,2,4,https://demo.opencart.com/,305,0,112
1655059006623,219,PostAddToCart,200,OK,AddToCartThreadGroup 3-1,text,true,,26300,284,3,5,https://demo.opencart.com/index.php,219,0,0
1655059006613,232,PostLogin,200,OK,LoginThreadGroup 2-1,text,true,,26300,338,1,4,https://demo.opencart.com/index.php,232,0,0
1655059006677,206,GetProduct,200,OK,AddToCartThreadGroup 3-2,text,true,,27427,182,2,3,https://demo.opencart.com/index.php?language=en-gb&product_id=43&route=product/product,196,0,0
1655059006656,243,PostRegister,200,OK,RegisterThreadGroup 1-1,text,true,,26300,412,1,3,https://demo.opencart.com/index.php,241,0,0
1655059006883,156,PostAddToCart,200,OK,AddToCartThreadGroup 3-2,text,true,,26308,284,2,2,https://demo.opencart.com/index.php,154,0,0
1655059006704,342,GetMainPage,200,OK,AddToCartThreadGroup 3-3,text,true,,26301,122,1,1,https://demo.opencart.com/,342,0,104
1655059007046,145,GetProduct,200,OK,AddToCartThreadGroup 3-3,text,true,,26982,182,1,1,https://demo.opencart.com/index.php?language=en-gb&product_id=30&route=product/product,142,0,0
1655059007191,149,PostAddToCart,200,OK,AddToCartThreadGroup 3-3,text,true,,26300,285,1,1,https://demo.opencart.com/index.php,145,0,0
1655059318748,394,GetMainPage,200,OK,RegisterThreadGroup 1-1,text,true,,26300,122,1,4,https://demo.opencart.com/,394,0,125
1655059318750,395,GetMainPage,200,OK,LoginThreadGroup 2-1,text,true,,26300,122,1,4,https://demo.opencart.com/,392,0,126
1655059318755,424,GetMainPage,200,OK,WishlistThreadGroup 4-1,text,true,,26300,122,1,4,https://demo.opencart.com/,422,0,96
1655059318749,465,GetMainPage,200,OK,AddToCartThreadGroup 3-1,text,true,,26300,122,1,4,https://demo.opencart.com/,462,0,117
1655059319214,0,GetProduct,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 63: https://demo.opencart.com/index.php?language=en-gb&product_id=${id}&route=product/product,AddToCartThreadGroup 3-1,text,false,,1177,0,1,4,https://demo.opencart.com/index.php?language=en-gb&product_id=${id}&route=product/product,0,0,0
1655059319146,180,GetLoginPage,200,OK,LoginThreadGroup 2-1,text,true,,18423,166,1,4,https://demo.opencart.com/index.php?route=account/login&language=en-gb,178,0,0
1655059319142,204,GetRegisterPage,200,OK,RegisterThreadGroup 1-1,text,true,,22405,169,1,4,https://demo.opencart.com/index.php?route=account/register&language=en-gb,202,0,0
1655059319179,209,PostAddToWishlist,200,OK,WishlistThreadGroup 4-1,text,true,,26300,287,1,4,https://demo.opencart.com/index.php,205,0,0
1655059319215,200,PostAddToCart,200,OK,AddToCartThreadGroup 3-1,text,true,,26300,303,1,4,https://demo.opencart.com/index.php,200,0,0
1655059319326,165,PostLogin,200,OK,LoginThreadGroup 2-1,text,true,,26300,338,1,4,https://demo.opencart.com/index.php,162,0,0
1655059319347,204,PostRegister,200,OK,RegisterThreadGroup 1-1,text,true,,26300,412,1,4,https://demo.opencart.com/index.php,195,0,0
1655059319388,227,GetMainPage,200,OK,WishlistThreadGroup 4-1,text,true,,26300,122,1,4,https://demo.opencart.com/,227,0,0
1655059319415,226,GetMainPage,200,OK,AddToCartThreadGroup 3-1,text,true,,26300,122,1,4,https://demo.opencart.com/,223,0,0
1655059319641,0,GetProduct,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 63: https://demo.opencart.com/index.php?language=en-gb&product_id=${id}&route=product/product,AddToCartThreadGroup 3-1,text,false,,1177,0,1,4,https://demo.opencart.com/index.php?language=en-gb&product_id=${id}&route=product/product,0,0,0
1655059319491,194,GetMainPage,200,OK,LoginThreadGroup 2-1,text,true,,26300,122,1,4,https://demo.opencart.com/,191,0,0
